id,title,duration,bpm,release_date,rank,album_id,album_title,album_release_date,album_genres,album_label,album_duration,album_nb_fan,album_record_type,artist_id,artist_name,artist_nb_album,artist_nb_fan
15604774,Eres para Mí,193,97.1,2006-05-25,570729,1441890,Limon Y Sal,2006-05-25,Pop|Latino,Ariola,2797,15685,album,4477,Julieta Venegas,51,584641
15604765,Me Voy,188,107.9,2006-05-25,581229,1441890,Limon Y Sal,2006-05-25,Pop|Latino,Ariola,2797,15685,album,4477,Julieta Venegas,51,584641
2939056291,Juntos / Al Rescate ¡Ya! (2000's X Siempre En Vivo Desde El Pepsi Center De La CDMX),276,0.0,2024-08-09,20930,723022311,Juntos / Al Rescate ¡Ya! (2000's X Siempre En Vivo Desde El Pepsi Center De La CDMX),2024-08-09,Pop,Bobo Music,276,2,single,256911202,2000's X Siempre,59,301
2265078,Rosa Pastel,186,128.0,2005-06-15,615369,226256,Dulce Beat,2005-01-01,Pop,Universal Music Mexico,2216,8262,album,5839,Belanova,16,180975
1065541912,Sálvame,221,0.0,2020-09-04,582428,170197682,Rebelde,2005-01-11,Pop,Universal Music Mexico,2223,42616,album,4475,RBD,27,499680
562487,Hips Don't Lie (feat. Wyclef Jean),221,0.0,2005-11-28,8834,763994911,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,Pop,Epic,3691,4385,album,160,Shakira,71,11697128
993666,Ven Conmigo (Solamente Tú),192,118.8,1999-12-30,443639,110044,Mi Reflejo,1999-12-30,Pop,RCA Records Label,3354,23305,album,116,Christina Aguilera,31,3909411
476739462,The Ketchup Song (Aserejé) (Spanish Version),213,184.57,2018-04-13,779219,59626962,Aserejé (The Ketchup Song),2018-04-13,Pop,Sony Music Publishing Spain,2018,7343,album,4312,Las Ketchup,8,28948
3011913,Y Yo Sigo Aqui (Spanglish),253,126.0,2005-01-01,445273,291767,Paulina,2000-05-23,Pop,Universal Music Mexico,2914,7791,album,1464,Paulina Rubio,35,672818
3085505,Entre tú y mil mares,228,110.8,2000-09-12,570692,298905,Entre tú y mil mares,2000-09-12,Pop,CGD/EastWest Italy,3004,7580,album,1456,Laura Pausini,117,1061922
4104710,Bonito,254,114.2,2005-10-31,534964,382693,Bonito,2003-03-28,Pop|Rock,WM Spain,3475,4556,album,5678,Jarabe de Palo,55,569292
