id,title,duration,bpm,release_date,rank,album_id,album_title,album_release_date,album_genres,album_label,album_duration,album_nb_fan,album_record_type,artist_id,artist_name,artist_nb_album,artist_nb_fan
15604774,Eres para Mí,193,97.1,2006-05-25,570729,1441890,Limon Y Sal,2006-05-25,Pop|Latino,Ariola,2797,15686,album,4477,Julieta Venegas,51,584648
819736552,Blinding Lights,201,170.84,2019-11-29,21815,172918312,Blinding Lights (Instrumental),2020-09-11,R&B,Republic Records,201,5215,single,4050205,The Weeknd,86,14666984
1703487577,As It Was,167,0.0,2022-03-31,969095,307085627,As It Was,2022-03-31,Pop,Columbia,167,29313,single,5313805,Harry Styles,7,2191567
3129407,Feel Good Inc.,222,138.3,2005-05-23,963489,301752,Demon Days,2005-05-23,Rap/Hip Hop,Parlophone UK,3099,246152,album,14,Gorillaz,92,3013458
70322130,Do I Wanna Know?,272,84.89,2013-09-09,931645,6899610,AM,2013-09-06,Alternative,Domino Recording Co,2504,544586,album,1182,Arctic Monkeys,35,4954810
362297911,One More Light,255,168.06,2017-05-19,873495,41645391,One More Light,2017-05-19,Alternative,Warner Records,2119,185486,album,92,Linkin Park,75,12218466
925108,Don't Stop The Music,267,122.68,2008-06-17,987446,104188,Good Girl Gone Bad: Reloaded,2008-06-17,Pop,Def Jam Recordings,3425,204895,album,564,Rihanna,94,18032322
7754541,Who's That Chick ? (feat. Rihanna) (Single Version),165,128.0,2010-12-06,737006,715839,Who's That Chick?,2010-12-03,Dance,Parlophone (France),1749,14350,single,542,David Guetta,395,20097873
972801632,Warrior (feat. SG Lewis),165,0.0,2020-06-11,366299,150989302,Warrior,2020-06-11,Pop,Mad Decent,424,94,single,92255432,Aluna,46,5522
1841999507,DESPECHÁ,157,0.0,2022-07-28,920501,340053337,DESPECHÁ,2022-07-28,Pop,Columbia,157,12893,single,554792,ROSALÍA,36,1056397
565423972,MIA (feat. Drake),210,97.05,2018-10-11,21763,459361075,MIA (feat. Drake),2018-10-11,Latino,OVO Sound,210,2386,single,10583405,Bad Bunny,88,7982782
903698362,Azul,205,187.93,2020-03-19,889203,136387572,Colores,2020-03-19,Rap/Hip Hop|Latino,UMLE - Latino,1732,149011,album,4860761,J Balvin,173,10337797
574955,Summertime,207,168.1,2005-11-07,305983,74356,The Road And The Radio,2005-11-06,Country|Pop|Pop internationale|Rock,BNA Records Label,2792,2624,album,347,Kenny Chesney,51,328753
1306431402,Cruise,209,0.0,2021-04-09,336259,219772352,Car Songs,2021-04-09,Pop,UME - Global Clearing House,5206,302,album,2144511,Florida Georgia Line,38,340408
1110152132,Forever After All,232,0.0,2020-10-23,615222,179786022,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,Country,River House Artists/Columbia Nashville,4877,4754,album,9626504,Luke Combs,42,362494
